ts,location1,avg_temp1,location2,avg_temp2,location3,avg_temp3,location4,avg_temp4,location5,avg_temp5,location6,avg_temp6,location7,avg_temp7,location8,avg_temp8,location9,avg_temp9,location10,avg_temp10
2022-05-08 16:00:00.0,11424,48.48499999999999,6454,44.05833333333334,15709,40.23333333333333,70831,37.045833333333334,68734,34.806666666666665,12938,9.4625,71205,9.473599999999996,69435,10.06,12126,12.021249999999997,12007,12.929166666666665
2022-05-08 17:00:00.0,11424,44.78,15709,39.29375,6454,36.079166666666666,70831,32.91166666666667,44429,29.839999999999996,12938,9.1625,71205,9.926666666666666,69435,10.237499999999999,12126,12.205,12007,12.391666666666667
2022-05-08 18:00:00.0,15709,35.41416666666667,11424,34.5,44429,29.983333333333334,13497,27.705333333333332,12061,27.670833333333334,12938,7.2375,71205,8.5288,69435,9.519166666666669,12126,10.558,12007,10.92
2022-05-08 19:00:00.0,44429,30.095833333333346,15709,27.56166666666667,12061,27.47083333333332,20092,27.29166666666667,13497,26.586000000000002,12938,6.241666666666666,12126,6.809583333333333,71205,7.734166666666666,69435,8.884347826086954,25514,9.483333333333334
2022-05-08 20:00:00.0,44429,30.168000000000017,12061,27.196000000000005,20092,26.633333333333336,13497,25.802,20733,25.537500000000005,12126,5.3254166666666665,12938,5.536000000000001,71205,7.432000000000003,25514,7.784000000000001,69435,8.353333333333332
2022-05-08 21:00:00.0,44429,30.216666666666672,12061,26.96249999999999,20092,25.5,67501,25.06750000000001,20733,24.800000000000008,12126,4.245000000000001,12938,5.166666666666666,25514,6.6375,71205,7.204999999999999,68743,7.694444444444445
2022-05-08 22:00:00.0,44429,30.232000000000003,12061,26.75833333333334,67501,25.144800000000004,20092,23.96666666666667,20733,23.799999999999997,12126,3.44,12938,5.0,25514,5.774999999999999,68743,6.902857142857143,71205,7.009600000000001
2022-05-08 23:00:00.0,71493,32.725,44429,30.208333333333343,12061,26.55,67501,24.977391304347826,15544,23.602500000000003,12126,3.11125,12938,4.908333333333333,25514,5.056521739130435,68743,6.083333333333334,71205,6.545000000000001
2022-05-09 00:00:00.0,71493,32.34761904761905,44429,30.20454545454546,12061,26.35416666666666,67501,24.438333333333336,15544,23.425,25514,4.4958333333333345,12938,4.533333333333334,12126,5.005416666666667,68743,5.151515151515152,65765,6.296363636363637
2022-05-09 01:00:00.0,44429,30.176190476190477,71493,29.87619047619047,12061,26.15500000000001,67501,23.986363636363635,15544,23.2325,25514,4.1000000000000005,12938,4.321739130434783,68743,4.526470588235294,12126,5.381666666666667,65765,5.92
2022-05-09 02:00:00.0,44429,30.100000000000012,71493,27.928571428571427,12061,25.999999999999996,67501,23.611666666666668,15544,23.01,25514,3.7083333333333326,12938,4.087500000000001,68743,4.397222222222222,12126,5.368333333333333,65765,5.601666666666667
2022-05-09 03:00:00.0,44429,30.0125,71493,25.976190476190474,12061,25.854166666666657,67501,23.299166666666675,15544,22.75791666666667,25514,3.5749999999999993,12938,4.3625,12126,5.0127999999999995,20848,5.20909090909091,68743,5.4314285714285715
2022-05-09 04:00:00.0,44429,29.945833333333326,12061,25.71666666666667,71493,24.280952380952378,67501,23.066666666666663,15544,22.946666666666662,25514,3.941666666666666,20848,5.627272727272727,58929,5.704166666666666,68070,6.013043478260869,18782,6.066666666666667
2022-05-09 05:00:00.0,44429,29.85199999999999,11926,26.875000000000004,12061,25.67916666666667,12938,25.599999999999994,71493,23.176190476190474,25514,6.038461538461538,18782,7.158333333333334,68911,7.469166666666666,58929,7.484,38114,7.7250000000000005
2022-05-09 06:00:00.0,11926,32.41708333333333,12938,31.733333333333334,67822,30.293913043478266,44429,29.804166666666664,68975,27.789655172413788,25514,8.95,18782,9.291666666666666,12126,9.361599999999997,71205,9.779200000000001,68911,10.019166666666665
2022-05-09 07:00:00.0,12938,39.16,9119,36.58333333333333,11926,34.58958333333333,67822,32.32086956521739,68975,32.16521739130435,71205,10.141052631578946,12126,11.07125,65697,12.129999999999997,25514,12.141666666666667,18782,12.58333333333333
2022-05-09 08:00:00.0,9119,41.62857142857143,12938,39.19090909090908,15935,35.31249999999999,11926,35.114736842105266,71463,34.87826086956521,71205,10.092857142857143,65697,13.68909090909091,12126,13.719473684210524,17142,14.525,65443,14.542857142857141
2022-05-09 09:00:00.0,9119,46.074999999999996,15144,37.553749999999994,15935,37.09090909090909,11926,36.290000000000006,15626,35.32666666666667,71205,9.634000000000002,69435,14.277777777777779,65697,15.602857142857143,12126,15.99176470588235,17142,16.030434782608694
2022-05-09 10:00:00.0,9119,46.87222222222222,15144,38.47904761904763,15626,38.418749999999996,15845,37.644943820224725,15935,37.01304347826086,71205,9.69157894736842,69435,14.651,70907,16.580000000000002,65697,16.788888888888888,12007,16.95909090909091
2022-05-09 11:00:00.0,9119,42.79230769230769,15845,40.31688311688313,15144,38.061818181818175,15935,38.05714285714286,71379,37.92571428571428,71205,10.283750000000001,69435,14.403529411764703,12938,15.426666666666668,70907,17.12222222222222,66564,17.45
2022-05-09 12:00:00.0,6454,44.627272727272725,15845,43.71375,15935,40.59090909090909,15626,38.458823529411774,65569,36.041666666666664,71205,11.374,12938,13.205555555555556,69435,13.964210526315787,12007,17.057894736842105,19644,17.199999999999996
2022-05-09 13:00:00.0,6454,50.89166666666666,15845,43.69499999999999,15626,38.96666666666666,65569,38.96521739130436,66372,38.553636363636365,12938,10.966666666666669,71205,11.60416666666667,69435,13.583636363636362,19644,17.03478260869565,12007,17.529166666666665
2022-05-09 14:00:00.0,6454,52.527272727272724,69116,49.88666666666666,15680,44.35217391304349,66372,43.576363636363624,11424,42.32222222222222,8362,-59.6,12938,10.271428571428572,71205,11.034545454545457,69435,13.165263157894737,12007,15.0
2022-05-09 15:00:00.0,6454,50.349999999999994,69116,47.44083333333333,11424,46.425,15709,46.03,15680,42.0875,8362,-59.6,12938,10.4875,71205,11.935,69435,12.951666666666668,12007,13.943478260869563
2022-05-09 16:00:00.0,11424,47.22,6454,46.704347826086966,15709,46.341249999999995,70831,41.726,65569,39.65909090909091,12938,10.033333333333333,71205,12.093333333333328,12007,13.734782608695653,69435,14.140000000000002,66564,16.033333333333335
2022-05-09 17:00:00.0,15709,44.03999999999999,11424,40.043749999999996,6454,38.23333333333333,71493,36.48,56286,36.4625,12938,9.048,71205,11.998333333333335,12007,12.724,68743,14.358333333333333,66564,14.823999999999996
2022-05-09 18:00:00.0,71493,43.73809523809524,15709,37.62166666666668,20733,33.37826086956521,11424,32.211764705882345,20092,32.10833333333333,12938,7.3086956521739115,71205,9.660833333333334,69435,10.665217391304347,12007,11.804347826086957,68743,12.469696969696972
